code,title,year,ratings_avg,nations,genres
md76rkk,스파이더맨: 뉴 유니버스,2018,8.376914062601951,['미국'],"['애니메이션', '액션', '모험', '코미디', '가족', 'SF']"
tPrzOrr,시맨틱 에러,2022,8.52872835273307,['한국'],"['로맨스', '드라마', 'BL', 'TV드라마']"
tRW0a6P,언내추럴,2018,8.618332106445731,['일본'],"['드라마', 'TV드라마']"
mLOP7lW,바람,2009,7.886674483468104,['한국'],"['드라마', '액션']"
mMO2JAO,메멘토,2000,8.160310850923484,['미국'],"['미스터리', '스릴러']"
mdRL4eL,기생충,2019,8.592880518386183,['한국'],['드라마']
mOo0PkN,너의 이름은.,2016,8.088119383710769,['일본'],"['애니메이션', '드라마', '로맨스']"
mdMBlkR,극한직업,2018,8.378736660461783,['한국'],['코미디']
m5DP0eR,헤어질 결심,2021,8.27887604981023,['한국'],"['로맨스', '드라마', '미스터리', '범죄', '스릴러']"
mdRLwlv,컨택트,2016,7.928592266337357,['미국'],"['미스터리', 'SF', '스릴러', '드라마']"
mWJyZx5,백만엔걸 스즈코,2008,7.535778189229979,['일본'],['드라마']
tPJ1joR,바라카몬,2014,8.242929750052218,['일본'],"['애니메이션', '코미디']"
tlLrZk4,스토브리그,2019,8.650387412623354,['한국'],"['스포츠', '드라마', 'TV드라마']"
tEZAQWd,30살까지 동정이면 마법사가 될 수 있대,2020,7.990109601381278,['일본'],"['BL', '판타지', '로맨스', '코미디', 'TV드라마']"
mW4LNQP,콜 미 바이 유어 네임,2017,7.903078579453251,"['이탈리아', '프랑스', '미국', '브라질']","['드라마', '로맨스']"
m5DpxB5,더 울프 오브 월 스트리트,2013,7.623645394494141,['미국'],"['전기', '범죄', '드라마']"
m5xJngq,아가씨,2016,7.702493733648023,['한국'],"['드라마', '로맨스', '스릴러', '시대극']"
mWpbblv,"자우림, 더 원더랜드",2022,7.8749441715051365,['한국'],['다큐멘터리']
tRa3Q0l,오란고교 사교클럽,2006,8.67687320650441,['일본'],"['로맨스', '애니메이션']"
tRBxA7l,킬링 이브 시즌 1,2018,8.491357712552004,"['미국', '영국']","['드라마', '스릴러', 'TV드라마']"
tEK2x2l,커피프린스 1호점,2007,8.323242538394668,['한국'],"['로맨틱 코미디', 'TV드라마', '드라마']"
mOAgnP5,도둑들,2012,7.719604180579898,['한국'],"['범죄', '액션', '드라마']"
mNdK17W,시간을 달리는 소녀,2006,8.249942176759944,['일본'],"['애니메이션', 'SF', '판타지', '로맨스']"
mWyJpxy,암살,2015,8.006020191696946,['한국'],"['액션', '드라마']"
myWqyBW,트와일라잇,2008,7.288353003282982,['미국'],"['드라마', '판타지', '로맨스']"
tR5Kzqa,야무진 고양이는 오늘도 우울,2023,8.604967474866942,['일본'],"['애니메이션', '코미디', '일상']"
tE6YLBr,포커 페이스,2023,8.42083250348536,['미국'],"['범죄', '드라마', '미스터리', 'TV드라마']"
m5XMArN,바닷마을 다이어리,2015,7.687139458889154,['일본'],"['가족', '드라마']"
m5awavO,황해,2010,7.522078320891724,['한국'],"['스릴러', '액션', '범죄']"
mdjagwO,친구,2001,7.574730911913409,['한국'],"['액션', '범죄']"
mOo01Ld,양들의 침묵,1991,8.20383811673847,['미국'],"['범죄', '드라마', '스릴러', '공포']"
m5XBN4O,미드나잇 인 파리,2011,7.902850032098601,"['미국', '스페인', '프랑스']","['코미디', '판타지', '로맨스', '로맨틱 코미디']"
tRWm6V6,주술회전 2기: 회옥·옥절,2023,8.600177226406734,['일본'],"['애니메이션', '액션', '모험', '판타지', '스릴러']"
m5Go91n,극장판 주술회전 0,2021,8.09887811370983,['일본'],"['애니메이션', '액션', '모험', '판타지', '스릴러']"
myWqxp5,파이트 클럽,1999,8.278600366682085,"['미국', '독일', '이탈리아']","['드라마', '액션']"
mOPpNlO,비긴 어게인,2013,8.258659465239015,['미국'],"['코미디', '드라마', '음악', '로맨스']"
tlnN6J1,귀멸의 칼날: 도공 마을편,2023,8.85777381407398,['일본'],"['애니메이션', '액션', '판타지', '스릴러']"
tR5KzKN,【최애의 아이】,2023,8.047426092911769,['일본'],"['애니메이션', '드라마', '미스터리']"
tPD9aLl,아따맘마,2002,7.941358373873364,['일본'],['애니메이션']
mLOPva5,달콤한 인생,2005,7.738739316581948,['한국'],"['액션', '범죄', '드라마']"
m5ng0DW,블레이드 러너 2049,2017,7.490213104228452,"['미국', '영국', '헝가리', '캐나다', '스페인']","['액션', '드라마', '미스터리', 'SF', '스릴러']"
m5ZlXxL,나이브스 아웃,2019,8.016414443658212,['미국'],"['코미디', '범죄', '드라마', '미스터리', '스릴러']"
tEgAwJP,학원 베이비시터즈,2018,8.504326468387843,['일본'],"['애니메이션', '키즈']"
tPrzdaO,와이 우먼 킬 시즌 1,2019,8.746681017026258,['미국'],"['코미디', '범죄', '드라마', 'TV드라마']"
mgOA4mW,바스터즈: 거친 녀석들,2009,8.1301696489569,"['미국', '독일']","['모험', '드라마', '전쟁']"
m6dRLWy,타짜,2006,8.332656349259064,['한국'],['드라마']
my5Y83d,노팅 힐,1999,8.03846029776043,['영국'],"['로맨스', '로맨틱 코미디']"
tRbq439,호리미야,2021,8.413331876828217,['일본'],"['애니메이션', '로맨틱 코미디', '로맨스', '코미디', '드라마']"
tR4JrKo,좋좋소,2021,8.304202812965258,['한국'],['드라마']
mWyJ9NO,아포칼립토,2006,7.405144204386089,"['멕시코', '영국', '미국']","['액션', '모험', '드라마', '스릴러']"
m5XK6PL,작은 아씨들,2019,7.9728647431256965,['미국'],"['드라마', '로맨스']"
tEm9YpW,어쩌다 발견한 하루,2019,8.020039927308423,['한국'],"['틴에이저', '로맨스', '코미디', '드라마', 'TV드라마']"
mwWLpkW,가타카,1997,8.047232466412261,['미국'],"['SF', '드라마', '스릴러']"
mW9EZlW,늑대아이,2012,7.945826437622145,['일본'],"['판타지', '애니메이션']"
mOgBDaW,펄프 픽션,1994,8.049692656483371,['미국'],"['범죄', '드라마']"
m5X2Mlz,백두산,2019,6.8179122748445975,['한국'],"['드라마', '액션', '모험', '재난']"
mO2x9k5,어바웃 타임,2013,8.598955048973686,['영국'],"['판타지', '드라마', '로맨틱 코미디', '코미디', '로맨스']"
mOk6ZMW,오만과 편견,2005,7.94156164225897,['영국'],"['로맨스', '드라마']"
tlxkZqA,바라카몬,2023,8.41614420062696,['일본'],"['코미디', '드라마', 'TV드라마']"
tE6YL9K,언데드 걸 머더 파르스,2023,8.304107424960506,['일본'],"['애니메이션', '미스터리', '판타지']"
tRaDoKq,무직전생Ⅱ ~이세계에 갔으면 최선을 다한다~,2023,8.118072289156627,['일본'],"['애니메이션', '판타지', '모험', '코미디']"
m5mQ9z5,"광해, 왕이 된 남자",2012,7.9623430554366825,['한국'],"['시대극', '드라마', '역사']"
mBOk6gW,릴리 슈슈의 모든 것,2001,7.484797155416189,['일본'],['드라마']
m2WyDM5,에이 아이,2001,7.998248324082218,['미국'],"['모험', 'SF', '판타지', '드라마']"
m15GvKd,퀸카로 살아남는 법,2004,7.483194678500126,"['캐나다', '미국']","['로맨틱 코미디', '코미디']"
mWzxxZd,맨 프럼 어스,2007,7.831713862249872,['미국'],"['SF', '판타지', '드라마']"
tP8Q1zl,지붕 뚫고 하이킥,2009,8.27478467705025,['한국'],"['시트콤', '드라마', 'TV드라마']"
tEQkV7k,좀100 ~좀비가 되기 전에 하고 싶은 100가지~,2023,7.056463595839524,['일본'],"['애니메이션', '액션', '스릴러']"
tl9gpqj,사막의 왕,2022,6.80439980870397,['한국'],"['판타지', '드라마', 'TV드라마']"
mQO8b5R,러브레터,1995,8.00171821785885,['일본'],['로맨스']
mdj09rW,"장화, 홍련",2003,6.681295420071993,['한국'],"['공포', '스릴러']"
